Invoice Date,Capacity Rating,Energy Rating,Invoice Quantity,Sales Zone,Sales Location,Sales Channel,Sales Margin,Unnamed: 0,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,day_of_week,month,is_weekend,sales_lag_1,temp_lag_1
2023-04-17,1.5,3,8,North,JMU,General Trade,0.15,116496.0,2023-04-17,0.7022653039871875,0.31792466839911954,0.4790940766550522,0.6477634542600784,0.0,0.0,0.0,0.0,1005.9,981.5894,0.072000003,0.0,12.0,0.0,10.483357,12.324414,254.05453,263.29025,14.04,0.0,0.2727272727272727,0.0,5.0,0.7022653039871875
2023-04-18,1.5,3,3,North,JMU,General Trade,0.15,116520.0,2023-04-18,0.7038834268074343,0.25171324530443007,0.41463414634146334,0.6344620169256008,0.0,0.0,0.0,0.0,1007.8,983.44745,0.10200001,0.0,17.0,0.0,10.296251,17.873554,306.46933,288.8,17.64,0.16666666666666666,0.2727272727272727,0.0,8.0,0.7022653039871875
2023-04-20,1.5,3,10,North,JMU,Modern Trade,0.15,116568.0,2023-04-20,0.6844659206020143,0.5726971017524605,0.6637630313588849,0.6970117956571786,0.0,0.0,0.0,0.0,1003.3,979.0082,0.52800003,0.0,38.0,100.0,7.9932976,16.263872,352.23492,5.0795207,14.04,0.5,0.2727272727272727,0.0,3.0,0.7038834268074343
2023-04-21,1.5,3,3,North,JMU,General Trade,0.15,116592.0,2023-04-21,0.6375403911773084,0.5063447126813909,0.5696864459930313,0.6195461031437409,0.0,0.0,0.0,0.0,1002.9,978.50055,0.0,0.0,0.0,0.0,10.233123,21.203358,50.710617,49.820835,12.24,0.6666666666666666,0.2727272727272727,0.0,10.0,0.6844659206020143
2023-04-25,1.5,3,25,North,JMU,General Trade,0.15,116688.0,2023-04-25,0.5582523729852065,0.44493650561090364,0.4442508710801394,0.5143308329489805,0.0,0.0,0.0,0.0,1012.3,987.4694,0.0,0.0,0.0,0.0,11.808878,24.458813,127.568665,132.61403,18.0,0.16666666666666666,0.2727272727272727,0.0,3.0,0.6375403911773084
2023-04-17,1.5,3,20,North,DLI,General Trade,0.15,116496.0,2023-04-17,0.7022653039871875,0.31792466839911954,0.4790940766550522,0.6477634542600784,0.0,0.0,0.0,0.0,1005.9,981.5894,0.072000003,0.0,12.0,0.0,10.483357,12.324414,254.05453,263.29025,14.04,0.0,0.2727272727272727,0.0,20.0,0.7022653039871875
2023-04-17,1.5,3,19,North,DLI,General Trade,0.15,116496.0,2023-04-17,0.7022653039871875,0.31792466839911954,0.4790940766550522,0.6477634542600784,0.0,0.0,0.0,0.0,1005.9,981.5894,0.072000003,0.0,12.0,0.0,10.483357,12.324414,254.05453,263.29025,14.04,0.0,0.2727272727272727,0.0,20.0,0.7022653039871875
2023-04-17,1.5,3,8,North,DLI,Modern Trade,0.15,116496.0,2023-04-17,0.7022653039871875,0.31792466839911954,0.4790940766550522,0.6477634542600784,0.0,0.0,0.0,0.0,1005.9,981.5894,0.072000003,0.0,12.0,0.0,10.483357,12.324414,254.05453,263.29025,14.04,0.0,0.2727272727272727,0.0,19.0,0.7022653039871875
2023-04-17,1.5,3,1,North,DLI,General Trade,0.15,116496.0,2023-04-17,0.7022653039871875,0.31792466839911954,0.4790940766550522,0.6477634542600784,0.0,0.0,0.0,0.0,1005.9,981.5894,0.072000003,0.0,12.0,0.0,10.483357,12.324414,254.05453,263.29025,14.04,0.0,0.2727272727272727,0.0,8.0,0.7022653039871875
2023-04-17,1.5,3,10,North,DLI,General Trade,0.15,116496.0,2023-04-17,0.7022653039871875,0.31792466839911954,0.4790940766550522,0.6477634542600784,0.0,0.0,0.0,0.0,1005.9,981.5894,0.072000003,0.0,12.0,0.0,10.483357,12.324414,254.05453,263.29025,14.04,0.0,0.2727272727272727,0.0,1.0,0.7022653039871875
